semester1,Institution1,Program,Degree_Level_Code,CIP,Program_status,ECount,GCount
2023-2024,Campbellsville University,*Spanish Education,B ,13.1330,A  ,,
2024-2025,Campbellsville University,*Spanish Education,B ,13.1330,A  ,1,
2014-2015,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2015-2016,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2016-2017,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2017-2018,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2018-2019,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2019-2020,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2020-2021,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2021-2022,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,1,48
2022-2023,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2023-2024,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2024-2025,Campbellsville University,*Teaching English to Speakers of Other Languages,M ,13.0401,A  ,,
2014-2015,Campbellsville University,*School Improvement,M ,13.0601,A  ,,
2015-2016,Campbellsville University,*School Improvement,M ,13.0601,A  ,,
2016-2017,Campbellsville University,*School Improvement,M ,13.0601,A  ,,
2017-2018,Campbellsville University,*School Improvement,M ,13.0601,A  ,,
2018-2019,Campbellsville University,*School Improvement,M ,13.0601,A  ,24,11
2019-2020,Campbellsville University,*School Improvement,M ,13.0601,A  ,35,18
2020-2021,Campbellsville University,*School Improvement,M ,13.0601,A  ,42,14
2021-2022,Campbellsville University,*School Improvement,M ,13.0601,A  ,33,29
2022-2023,Campbellsville University,*School Improvement,M ,13.0601,A  ,,
2023-2024,Campbellsville University,*School Improvement,M ,13.0601,A  ,,
2024-2025,Campbellsville University,*School Improvement,M ,13.0601,A  ,,
2014-2015,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2015-2016,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2016-2017,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2017-2018,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2018-2019,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2019-2020,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,29,
2020-2021,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2021-2022,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2022-2023,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2023-2024,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2024-2025,Campbellsville University,*Teacher Leader,M ,13.1099,A  ,,
2014-2015,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,,
2015-2016,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,,
2016-2017,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,,
2017-2018,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,,
2018-2019,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,1,
2019-2020,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,,
2020-2021,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,3,
2021-2022,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,3,1
2022-2023,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,4,
2023-2024,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,4,1
2024-2025,Campbellsville University,*Certification for 8-12 Biology,M ,13.1322,A  ,,
2014-2015,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,,
2015-2016,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,,
2016-2017,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,,
2017-2018,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,,
2018-2019,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,,
2019-2020,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,,
2020-2021,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,2,
2021-2022,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,2,
2022-2023,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,1,2
2023-2024,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,1,
2024-2025,Campbellsville University,*Certification for 8-12 Chemistry,M ,13.1323,A  ,2,
2014-2015,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2015-2016,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,2,
2016-2017,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2017-2018,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2018-2019,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2019-2020,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2020-2021,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2021-2022,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2022-2023,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2023-2024,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2024-2025,Campbellsville University,*Teaching English as a Secondary Foreign Language/E,E ,13.1401,A  ,,
2014-2015,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2015-2016,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2016-2017,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2017-2018,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2018-2019,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2019-2020,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,1
2020-2021,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2021-2022,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2022-2023,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2023-2024,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2024-2025,Campbellsville University,Biology Teacher Education,M ,13.1322,A  ,,
2014-2015,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2015-2016,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2016-2017,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2017-2018,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2018-2019,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2019-2020,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2020-2021,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2021-2022,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2022-2023,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,2
2023-2024,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2024-2025,Campbellsville University,"Educational Leadership & Administration, General",S ,13.0401,A  ,,
2014-2015,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,,
2015-2016,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,,
2016-2017,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,,
2017-2018,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,8,6
2018-2019,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,14,9
2019-2020,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,10,6
2020-2021,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,4,6
2021-2022,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,5,6
2022-2023,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,4,3
2023-2024,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,,
2024-2025,Eastern Kentucky University,*Career and Technical Education,A ,13.1319,A  ,4,
2014-2015,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,,
2015-2016,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,,
2016-2017,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,,
2017-2018,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,,
2018-2019,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,,
2019-2020,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,,
2020-2021,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,1,
2021-2022,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,10,1
2022-2023,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,18,
2023-2024,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,19,1
2024-2025,Eastern Kentucky University,*English & History Teaching,B ,13.0301,A  ,12,
2014-2015,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,149,26
2015-2016,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,143,29
2016-2017,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,127,20
2017-2018,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,117,27
2018-2019,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,100,16
2019-2020,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,83,14
2020-2021,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,80,18
2021-2022,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,68,18
2022-2023,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,62,7
2023-2024,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,63,11
2024-2025,Eastern Kentucky University,*Special Education Teaching,B ,13.1001,A  ,56,
2014-2015,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,42,3
2015-2016,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,50,7
2016-2017,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,41,9
2017-2018,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,36,6
2018-2019,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,45,3
2019-2020,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,47,11
2020-2021,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,26,5
2021-2022,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,22,4
2022-2023,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,22,3
2023-2024,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,26,3
2024-2025,Eastern Kentucky University,*Education of the Deaf and Hard of Hearing (P-12),B ,13.1003,A  ,20,
2014-2015,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,438,70
2015-2016,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,454,72
2016-2017,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,397,60
2017-2018,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,401,43
2018-2019,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,394,66
2019-2020,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,365,65
2020-2021,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,370,71
2021-2022,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,365,62
2022-2023,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,359,63
2023-2024,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,454,61
2024-2025,Eastern Kentucky University,*Elementary Education (P-5) Teaching,B ,13.1202,A  ,542,
2014-2015,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,155,41
2015-2016,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,143,28
2016-2017,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,137,20
2017-2018,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,113,35
2018-2019,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,81,21
2019-2020,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,70,12
2020-2021,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,74,13
2021-2022,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,72,23
2022-2023,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,64,17
2023-2024,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,57,9
2024-2025,Eastern Kentucky University,*Middle Grade Education (5-9) Teaching,B ,13.1203,A  ,54,
2014-2015,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,80,13
2015-2016,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,77,11
2016-2017,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,78,5
2017-2018,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,76,14
2018-2019,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,51,5
2019-2020,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,58,5
2020-2021,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,42,9
2021-2022,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,51,5
2022-2023,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,45,8
2023-2024,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,47,4
2024-2025,Eastern Kentucky University,*English Teaching,B ,13.1305,A  ,43,
2014-2015,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,28,4
2015-2016,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,19,1
2016-2017,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,29,3
2017-2018,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,37,3
2018-2019,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,23,3
2019-2020,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,13,3
2020-2021,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,9,7
2021-2022,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,10,1
2022-2023,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,22,1
2023-2024,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,24,4
2024-2025,Eastern Kentucky University,*Family & Consumer Sciences Education Teaching,B ,13.1308,A  ,29,
2014-2015,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,,
2015-2016,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,,
2016-2017,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,,
2017-2018,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,24,7
2018-2019,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,18,8
2019-2020,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,16,7
2020-2021,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,22,4
2021-2022,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,22,4
2022-2023,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,26,10
2023-2024,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,,
2024-2025,Eastern Kentucky University,*Career & Technical Education Teaching,B ,13.1319,A  ,16,
2014-2015,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,58,10
2015-2016,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,60,6
2016-2017,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,70,5
2017-2018,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,75,6
2018-2019,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,53,1
2019-2020,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,54,8
2020-2021,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,50,2
2021-2022,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,57,7
2022-2023,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,71,5
2023-2024,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,63,8
2024-2025,Eastern Kentucky University,*History Teaching,B ,13.1328,A  ,63,
2014-2015,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,15,1
2015-2016,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,13,1
2016-2017,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,13,2
2017-2018,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,16,
2018-2019,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,14,3
2019-2020,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,10,4
2020-2021,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,5,
2021-2022,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,7,
2022-2023,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,9,2
2023-2024,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,5,1
2024-2025,Eastern Kentucky University,*Spanish Teaching,B ,13.1330,A  ,3,
2014-2015,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,,
2015-2016,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,,
2016-2017,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,,
2017-2018,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,102,15
2018-2019,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,84,10
2019-2020,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,58,11
2020-2021,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,60,15
2021-2022,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,67,18
2022-2023,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,65,10
2023-2024,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,76,10
2024-2025,Eastern Kentucky University,*Educational Leadership and Policy Studies,O ,13.0401,A  ,81,
2014-2015,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,14,3
2015-2016,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,30,16
2016-2017,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,41,16
2017-2018,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,35,15
2018-2019,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,26,11
2019-2020,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,18,12
2020-2021,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,18,5
2021-2022,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,17,4
2022-2023,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,23,8
2023-2024,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,26,10
2024-2025,Eastern Kentucky University,*Literacy P-12,M ,13.0301,A  ,27,
2014-2015,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,,
2015-2016,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,,
2016-2017,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,,
2017-2018,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,,
2018-2019,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,34,23
2019-2020,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,17,13
2020-2021,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,22,9
2021-2022,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,,
2022-2023,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,2,3
2023-2024,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,,
2024-2025,Eastern Kentucky University,*School Leadership,M ,13.0401,A  ,,
2014-2015,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2015-2016,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2016-2017,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2017-2018,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2018-2019,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2019-2020,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2020-2021,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2021-2022,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,7
2022-2023,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2023-2024,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2024-2025,Eastern Kentucky University,"Educational Leadership & Administration, General",M ,13.0401,A  ,,
2014-2015,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,,
2015-2016,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,,
2016-2017,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,,
2017-2018,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,,
2018-2019,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,,
2019-2020,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,,
2020-2021,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,,
2021-2022,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,24,5
2022-2023,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,37,6
2023-2024,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,64,32
2024-2025,Eastern Kentucky University,*School Leadership,M ,13.0404,A  ,46,
2014-2015,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,,
2015-2016,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,,
2016-2017,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,,
2017-2018,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,,
2018-2019,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,,
2019-2020,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,,
2020-2021,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,,
2021-2022,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,11,
2022-2023,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,25,1
2023-2024,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,25,17
2024-2025,Eastern Kentucky University,*Instructional Design and Learning Technology,M ,13.0501,A  ,20,
2014-2015,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,71,23
2015-2016,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,78,26
2016-2017,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,81,32
2017-2018,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,79,24
2018-2019,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,83,21
2019-2020,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,82,33
2020-2021,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,57,30
2021-2022,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,41,15
2022-2023,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,42,15
2023-2024,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,42,22
2024-2025,Eastern Kentucky University,*Special Education,M ,13.1001,A  ,51,
2014-2015,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,,
2015-2016,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,,
2016-2017,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,,
2017-2018,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,,
2018-2019,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,55,31
2019-2020,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,54,24
2020-2021,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,60,29
2021-2022,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,58,29
2022-2023,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,27,29
2023-2024,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,,
2024-2025,Eastern Kentucky University,*Communication Disorders,M ,13.1012,A  ,,
2014-2015,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,145,54
2015-2016,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,147,50
2016-2017,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,133,33
2017-2018,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,124,39
2018-2019,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,,
2019-2020,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,62,35
2020-2021,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,70,28
2021-2022,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,68,26
2022-2023,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,68,25
2023-2024,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,44,47
2024-2025,Eastern Kentucky University,*School Counseling,M ,13.1101,A  ,14,
2014-2015,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,,
2015-2016,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,,
2016-2017,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,,
2017-2018,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,,
2018-2019,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,107,41
2019-2020,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,156,35
2020-2021,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,162,28
2021-2022,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,172,26
2022-2023,Eastern Kentucky University,*Clinical Mental Health Counseling,M ,13.1101,A  ,166,25
